TF	Annotation	x11	x12	x21	x22	estimate	ci1	ci2	pval	padj	log2r
HES2	non-caPeak	2431	230	48364	3976	0.868931398836948	0.755664009011028	1.00294532235166	0.051741570139452	0.219489717916402	-0.202685812513324
HES6	caPeak	93	2012	2493	50641	0.938933400670948	0.751409033315789	1.16112966713248	0.59887336687783	0.804053996733852	-0.0909052649415141
HES6	caPeak-haPeak	70	2035	1567	51567	1.13197068798577	0.874283182765996	1.44510336624985	0.325087291270609	0.575819510601663	0.178836600532792
HES6	non-caPeak	1942	163	49074	4060	0.985679387122689	0.836841112993353	1.16745425620902	0.867116358228951	0.957715518500313	-0.0208096387775585
HES7	caPeak	113	1882	2475	50773	1.23172622385087	1.00529046003502	1.49671471801157	0.0400654186753837	0.190849029830212	0.300681623415068
HES7	caPeak-haPeak	66	1929	1572	51676	1.12472621366718	0.861885353865072	1.44578517100698	0.346547093700244	0.593532797430154	0.16957385632592
HES7	non-caPeak	1816	179	49201	4047	0.834495365880215	0.712824283987002	0.981770355642738	0.0256416258883383	0.147825412622174	-0.26102405685155
HESX1	caPeak	28	757	2565	51963	0.749319625051471	0.493526083685587	1.09455444767584	0.147881578094687	0.37805015546546	-0.416346858024188
HESX1	caPeak-haPeak	25	760	1615	52913	1.07772076713637	0.690865101256223	1.60929866176585	0.671523957119919	0.845434698377818	0.107983430362036
HESX1	non-caPeak	732	53	50348	4180	1.14665366724526	0.865288035243198	1.54822423298785	0.379124483518543	0.62297863989152	0.197429708705831
HEY1	caPeak	114	2193	2472	50381	1.05948257762664	0.866045640778573	1.28538934900967	0.545975578636874	0.759479257516374	0.0833598638985639
HEY1	caPeak-haPeak	74	2233	1562	51291	1.08816114426318	0.846647217436651	1.38020889132586	0.490042708819009	0.711405708683119	0.121892219101614
HEY1	non-caPeak	2119	188	48819	4034	0.931342784134085	0.799041736036581	1.09072483702182	0.35753111642176	0.600544069449918	-0.102615840151807
HEY2	caPeak	114	2315	2470	50239	1.00160823465762	0.818990676193705	1.21482853601063	0.960857330918236	1	0.00231832845632533
HEY2	caPeak-haPeak	77	2352	1556	51153	1.07622084482097	0.841588868466653	1.35898418200075	0.540128210346751	0.754932608795249	0.105974155065157
HEY2	non-caPeak	2238	191	48683	4026	0.968993150878172	0.832481470149265	1.13317967632436	0.66765507776839	0.842954088708527	-0.0454416265937727
HIC1	caPeak	139	3003	2444	49618	0.9397164756515	0.783198182064762	1.11994257245656	0.51414832706195	0.73671009419566	-0.0897025517901652
HIC1	caPeak-haPeak	99	3043	1535	50527	1.07092876793316	0.862123113578316	1.31752418426667	0.515217724489225	0.73671009419566	0.0988625234427806
HIC1	non-caPeak	2904	238	48083	3979	1.00972248005466	0.880787327741512	1.16178194265894	0.917384577612757	0.974446776220249	0.0139588259818683
HIC2	caPeak	145	3233	2438	49274	0.906450440349127	0.758423354739884	1.07647899466097	0.27479188607157	0.524479444601073	-0.141699951274358
HIC2	caPeak-haPeak	134	3244	1503	50209	1.37987863332743	1.1435443967591	1.65387033042576	0.000793149389984421	0.0195643516196157	0.46454138091893
HIC2	non-caPeak	3099	279	47771	3941	0.916318064685272	0.806802451924579	1.04395404594863	0.181613060444706	0.427833900220331	-0.126079633360685
HIF1A	caPeak	101	1688	2484	50955	1.22738809912815	0.989996761888153	1.50753863302923	0.0528930331463052	0.222250852210973	0.295591500147427
HIF1A	caPeak-haPeak	72	1717	1567	51872	1.38809371529567	1.07515101772682	1.76799565645531	0.0105444549570076	0.0894599618008546	0.473104972835627
HIF1A	non-caPeak	1616	173	49388	4051	0.766195565597592	0.652362432683395	0.904434514879273	0.00152585298230641	0.0285403706967879	-0.384215418784765
HINFP	caPeak	199	3815	2352	47894	1.06220981641381	0.911011942556727	1.23292490441654	0.415945959643959	0.654778440414782	0.0870687672736332
HINFP	caPeak-haPeak	109	3905	1508	48738	0.902130585792106	0.733805261320456	1.09951111287795	0.334515235717066	0.586281965756753	-0.148591812361638
HINFP	non-caPeak	3706	308	46386	3860	1.00127891498935	0.886909128619585	1.13352828598609	1	1	0.00184390546485468
HLTF	caPeak	46	1121	2547	51584	0.831069058075502	0.603259718515848	1.11952481126076	0.262158694449307	0.515798199418725	-0.26695973148554
HLTF	caPeak-haPeak	42	1125	1598	52533	1.22729738968207	0.876030026530994	1.67753975662044	0.190810782550917	0.438963665557549	0.295484874619484
HLTF	non-caPeak	1079	88	49986	4145	1.01675163188499	0.815575425195338	1.28132258384969	0.955603398012649	1	0.0239673063254832
HMBOX1	caPeak	31	912	2562	51810	0.687380993951877	0.463260165942233	0.985176618350348	0.0427995851801457	0.197263139999841	-0.540818133067245
HMBOX1	caPeak-haPeak	29	914	1612	52760	1.03847769799762	0.689190267361142	1.50766870621772	0.846123523114492	0.952316173342588	0.0544702336753588
HMBOX1	non-caPeak	883	60	50198	4174	1.22372094100035	0.939549448668719	1.62031564688845	0.138253392076099	0.363939759378191	0.291274601383656
HNF1A	caPeak	28	871	2565	51845	0.649762856802566	0.42831983520266	0.948166950225059	0.0254348458773322	0.147825412622174	-0.622014819422985
HNF1A	caPeak-haPeak	32	867	1609	52801	1.21119682129184	0.820375928251083	1.72992422742449	0.275627335751315	0.524479444601073	0.2764333241809
HNF1A	non-caPeak	839	60	50236	4174	1.16185504635969	0.891611170956813	1.53907938900752	0.282567671493059	0.531610365012366	0.216430088585212
HNF1B	caPeak	19	755	2574	51966	0.508055016417217	0.303659529982807	0.800719812618552	0.00194058426875398	0.0315226615363451	-0.976943362428097
HNF1B	caPeak-haPeak	30	744	1611	52929	1.32477872754934	0.884472711085168	1.91504106885412	0.134594623160027	0.360724422634118	0.405751412260359
