Tissue	Database	TF	OddsRatio	AdjustedPvalue
iPSC	JASPAR	BCL6B	0.823465885425499	0.00716708573453038
iPSC	JASPAR	Bhlha15	0.919179992494879	0.446632066566982
iPSC	JASPAR	BHLHA15var.2	0.61209233261692	1.75015520827771e-16
iPSC	JASPAR	BHLHE22	1.06845288437322	0.688834156037159
iPSC	JASPAR	BHLHE22var.2	0.457380817892454	1.74777626688605e-47
iPSC	JASPAR	BHLHE23	1.08439912203883	0.623762214284516
iPSC	JASPAR	BHLHE40	0.316144006573606	2.50577686253855e-21
iPSC	JASPAR	BHLHE41	0.369770166048004	4.32104516020432e-19
iPSC	JASPAR	BSX	0.999253894021304	1
iPSC	JASPAR	CDX1	1.11138739405578	0.289079128447728
iPSC	JASPAR	CDX2	0.837656313081537	0.0471418673941658
iPSC	JASPAR	CDX4	1.04260161386332	0.669224704449805
iPSC	JASPAR	CEBPA	1.19544096031236	0.0431385219185012
iPSC	JASPAR	CEBPB	0.607722636673359	0.000412760477494495
iPSC	JASPAR	CEBPD	1.34633201582837	0.000207297361471071
iPSC	JASPAR	CEBPE	0.591544252896598	0.000239344087392978
iPSC	JASPAR	CEBPG	0.408708137464816	9.25398824536199e-08
iPSC	JASPAR	CEBPGvar.2	1.11300823090523	0.227630620484325
iPSC	JASPAR	CENPB	0.227983904816618	5.69410038147189e-22
iPSC	JASPAR	CLOCK	0.422555937518994	1.90874933484504e-10
iPSC	JASPAR	CREB1	0.691258401644625	4.76139373681417e-07
iPSC	JASPAR	CREB3	0.230485208059103	2.76149956453364e-34
iPSC	JASPAR	CREB3L1	0.360423128318927	2.42054191127997e-21
iPSC	JASPAR	Creb3l2	0.241449477070367	9.80619425910783e-39
iPSC	JASPAR	CREB3L4	0.218029648978997	4.77910536784577e-43
iPSC	JASPAR	CREB3L4var.2	0.205304004858903	1.07897279345482e-41
iPSC	JASPAR	Creb5	0.347773252317042	1.02202922514501e-22
iPSC	JASPAR	CREM	0.313882389359029	5.29102388134303e-29
iPSC	JASPAR	Crx	1.03999524198569	0.60624734320093
iPSC	JASPAR	CTCF	0.413737294080736	1.815272269844e-145
iPSC	JASPAR	CTCFL	0.311290016246917	1.74729017752354e-197
iPSC	JASPAR	CUX1	1.02151527664929	0.88958253186625
iPSC	JASPAR	CUX2	1.06097089121222	0.709130529068201
iPSC	JASPAR	DBP	0.900239060610121	0.52093131678951
iPSC	JASPAR	Ddit3Cebpa	0.820601814246549	0.0442820718259242
iPSC	JASPAR	Dlx1	1.37014370446	0.00370484418427544
iPSC	JASPAR	Dlx2	1.23293546965921	0.051319565090233
iPSC	JASPAR	Dlx3	1.22616280320563	0.0485670831893201
iPSC	JASPAR	Dlx4	1.22379315521248	0.0534378926350674
iPSC	JASPAR	DLX5	1.14593339335587	0.271894776872763
iPSC	JASPAR	DLX6	1.23253001702253	0.035774189481067
iPSC	JASPAR	Dmbx1	1.25887602408658	0.010131864178796
iPSC	JASPAR	Dmrt1	1.05387833837518	0.596718174451286
iPSC	JASPAR	DMRT3	1.23288602888862	0.0857511255952659
iPSC	JASPAR	DMRTA2	1.29520305590558	0.0173860697404086
iPSC	JASPAR	DMRTC2	1.12558006103648	0.296255290236623
iPSC	JASPAR	DPRX	0.792152974393706	0.0367837779348955
iPSC	JASPAR	DRGX	1.13052405916308	0.213510880960976
iPSC	JASPAR	Dux	0.645742889236652	3.86596561945128e-09
iPSC	JASPAR	DUX4	1.57215564793427	2.80646886387955e-10
iPSC	JASPAR	DUXA	1.57515506779403	1.83002680730216e-09
iPSC	JASPAR	E2F1	0.36511313740968	5.45753019838661e-13
iPSC	JASPAR	E2F2	0.332204890311048	1.63517183821573e-15
