value	Type	Tissue1	Tissue2	r2	iPSCORE Tissue
0.0213200092569888	EDev	iPSC	Breast_Mammary_Tissue	0.000454542794718088	iPSC
0.0152305936647697	EDev	PPC	Breast_Mammary_Tissue	0.000231970983381322	PPC
0.01953924753542	EDev	CVPC	Colon_Sigmoid	0.000381782194250418	CVPC
0.028831902564646	EDev	iPSC	Colon_Sigmoid	0.000831278605497243	iPSC
0.0299511699768935	EDev	PPC	Colon_Sigmoid	0.000897072582984764	PPC
0.038961137209551	EDev	CVPC	Colon_Transverse	0.00151797021266146	CVPC
0.0452468680808613	EDev	iPSC	Colon_Transverse	0.00204727907112687	iPSC
0.0392960087273855	EDev	PPC	Colon_Transverse	0.00154417630190276	PPC
0.0386847654573446	EDev	Esophagus_Gastroesophageal_Junction	CVPC	0.00149651107848976	CVPC
0.0189714659530118	EDev	Esophagus_Mucosa	CVPC	0.000359916520406284	CVPC
0.0437590116294551	EDev	Esophagus_Muscularis	CVPC	0.00191485109878679	CVPC
0.120839137619342	EDev	Heart_Atrial_Appendage	CVPC	0.0146020971805862	CVPC
0.125263255438731	EDev	Heart_Left_Ventricle	CVPC	0.0156908831631087	CVPC
0.027296173950187	EDev	Kidney_Cortex	CVPC	0.000745081112318865	CVPC
0.0468694203176665	EDev	Liver	CVPC	0.00219674256091409	CVPC
0.0134579439639476	EDev	Lung	CVPC	0.000181116255736752	CVPC
0.0383165800940463	EDev	Minor_Salivary_Gland	CVPC	0.00146816031010346	CVPC
0.0485360805450315	EDev	Muscle_Skeletal	CVPC	0.00235575111467379	CVPC
0.00443867141371761	EDev	Nerve_Tibial	CVPC	1.97018039189538e-05	CVPC
0.020892550467487	EDev	Ovary	CVPC	0.00043649866503649	CVPC
0.0063000385315739	EDev	Pancreas	CVPC	3.96904854993158e-05	CVPC
0.0484334047156869	EDev	Pituitary	CVPC	0.00234579469235352	CVPC
-0.0332894109273864	EDev	Prostate	CVPC	0.0011081848798924	CVPC
0.00667020309736264	EDev	Skin_Not_Sun_Exposed_Suprapubic	CVPC	4.44916093600661e-05	CVPC
-0.0516568139930002	EDev	Skin_Sun_Exposed_Lower_leg	CVPC	0.00266842643190742	CVPC
0.0132402386450359	EDev	Small_Intestine_Terminal_Ileum	CVPC	0.000175303919377502	CVPC
0.0415901890105192	EDev	Spleen	CVPC	0.00172974382193071	CVPC
0.0314199367243466	EDev	Stomach	CVPC	0.000987212423761946	CVPC
0.0157866681174548	EDev	Testis	CVPC	0.000249218890250664	CVPC
0.0295288607292749	EDev	Thyroid	CVPC	0.000871953615968912	CVPC
0.000520747811810147	EDev	Uterus	CVPC	2.71178283505056e-07	CVPC
0.0349459006462042	EDev	Vagina	CVPC	0.00122121597197438	CVPC
-0.00579149391941494	EDev	Whole_Blood	CVPC	3.35414018186202e-05	CVPC
-0.00817725310722597	EDev	iPSC	Esophagus_Gastroesophageal_Junction	6.68674683796369e-05	iPSC
0.00920608950754286	EDev	PPC	Esophagus_Gastroesophageal_Junction	8.47520840208908e-05	PPC
0.0831253140000876	EDev	iPSC	Esophagus_Mucosa	0.00690981782761316	iPSC
0.0224992962232203	EDev	PPC	Esophagus_Mucosa	0.000506218330540217	PPC
0.00288354793253793	EDev	iPSC	Esophagus_Muscularis	8.31484867924375e-06	iPSC
0.00632148299980439	EDev	PPC	Esophagus_Muscularis	3.99611473168159e-05	PPC
-0.0172682162954343	EDev	iPSC	Heart_Atrial_Appendage	0.000298191294025902	iPSC
-0.00618845713510321	EDev	PPC	Heart_Atrial_Appendage	3.82970017130099e-05	PPC
0.0497296807095771	EDev	iPSC	Heart_Left_Ventricle	0.00247304114347648	iPSC
0.0559700736672517	EDev	PPC	Heart_Left_Ventricle	0.00313264914631759	PPC
0.0247639946704244	EDev	Kidney_Cortex	iPSC	0.000613255432036807	iPSC
-0.00410718130519636	EDev	Liver	iPSC	1.68689382737545e-05	iPSC
0.0197460289839366	EDev	Lung	iPSC	0.000389905660634463	iPSC
0.0473737375028657	EDev	Minor_Salivary_Gland	iPSC	0.00224427100499042	iPSC
0.0174294573723118	EDev	Muscle_Skeletal	iPSC	0.000303785984293234	iPSC
-0.00200003055107053	EDev	Nerve_Tibial	iPSC	4.00012220521549e-06	iPSC
0.00321485365597843	EDev	Ovary	iPSC	1.03352840293579e-05	iPSC
0.0244987050815235	EDev	Pancreas	iPSC	0.000600186550671465	iPSC
0.012687280317162	EDev	Pituitary	iPSC	0.000160967081846246	iPSC
0.00796028879236786	EDev	Prostate	iPSC	6.33661976578974e-05	iPSC
0.0331951440733724	EDev	Skin_Not_Sun_Exposed_Suprapubic	iPSC	0.00110191759005195	iPSC
0.043796063988861	EDev	Skin_Sun_Exposed_Lower_leg	iPSC	0.00191809522091641	iPSC
0.00471443331034968	EDev	Small_Intestine_Terminal_Ileum	iPSC	2.22258814377347e-05	iPSC
0.0313644808340658	EDev	Spleen	iPSC	0.000983730657990478	iPSC
0.0213676568960636	EDev	Stomach	iPSC	0.000456576761227892	iPSC
0.0573861557973099	EDev	Testis	iPSC	0.00329317087719312	iPSC
