input_uuid	library_uuid
9ac356d4-aed9-4415-ae1c-971101127c02	bb9fd8de-90f8-4aaa-854b-a9a0b04cff18
9ac356d4-aed9-4415-ae1c-971101127c02	cb947726-a152-4969-8437-4596ea7c6463
9ac356d4-aed9-4415-ae1c-971101127c02	cdce3337-4116-4110-8232-269b07c25d2d
9ac356d4-aed9-4415-ae1c-971101127c02	df3cb68f-3cd0-4f5e-ac2f-95ab60e0d65b
9ac356d4-aed9-4415-ae1c-971101127c02	e0b2db5f-21e8-4051-9a64-1cc2bc8e8eda
9ac356d4-aed9-4415-ae1c-971101127c02	e2c62de3-7acd-4871-aa3d-86c4d71f7e4f
9ac356d4-aed9-4415-ae1c-971101127c02	ea6a3a40-e80a-4f2a-b81f-63033089628f
9ac356d4-aed9-4415-ae1c-971101127c02	f5692c07-43e6-4368-8ac6-49d3bbcdb429
9ac356d4-aed9-4415-ae1c-971101127c02	f582dd71-f2ba-4035-8596-db6844411781
ce5c015f-b5ff-4407-b0cc-a16b4c72aa5a	f0bc6fa7-8650-46b2-8f2e-0212b7891c55
d5a56418-aa7f-42fd-8a28-95d3cf02f6d1	08e8cbc3-a7c2-460b-9118-611466d3e42a
d5a56418-aa7f-42fd-8a28-95d3cf02f6d1	1700565b-0372-4121-81b3-c5b45b767f18
d5a56418-aa7f-42fd-8a28-95d3cf02f6d1	27893cba-0c87-4287-b275-7de31bc15e79
d5a56418-aa7f-42fd-8a28-95d3cf02f6d1	32774dfa-eb00-4769-a8e5-2ff2cecfa009
d5a56418-aa7f-42fd-8a28-95d3cf02f6d1	40fd4d61-8c80-4431-9e2c-ee1a596c0528
d5a56418-aa7f-42fd-8a28-95d3cf02f6d1	5e742cdb-2b3a-4f9c-b228-4cf9bda63e88
d5a56418-aa7f-42fd-8a28-95d3cf02f6d1	5febd915-70e4-4eb8-99f2-7130eb62235d
d5a56418-aa7f-42fd-8a28-95d3cf02f6d1	62c7c9f5-110b-4a6d-abcb-d15f2245d741
d5a56418-aa7f-42fd-8a28-95d3cf02f6d1	65fb3f5d-2550-4b11-bf18-1cf8fd24eeee
d5a56418-aa7f-42fd-8a28-95d3cf02f6d1	6b0f1d0d-a5e3-479b-afec-6d85f8d5888f
d5a56418-aa7f-42fd-8a28-95d3cf02f6d1	6b65a1ab-6568-4595-b55c-b4167db38c65
d5a56418-aa7f-42fd-8a28-95d3cf02f6d1	6ecf5c10-8bfd-4e69-91a7-93d4c45cfb7f
d5a56418-aa7f-42fd-8a28-95d3cf02f6d1	7ac0ee4e-0ada-4453-93a3-0414ab4e2411
d5a56418-aa7f-42fd-8a28-95d3cf02f6d1	7c0fd9a7-7e85-4ef9-a6ed-15b7951e6927
d5a56418-aa7f-42fd-8a28-95d3cf02f6d1	9cf5a04f-3431-4b59-9641-43482b32be06
d5a56418-aa7f-42fd-8a28-95d3cf02f6d1	a13f31f4-027a-4c2a-b291-68faa0b20e69
d5a56418-aa7f-42fd-8a28-95d3cf02f6d1	b6af6b34-5e7b-49ab-939f-f4f25b934d63
d5a56418-aa7f-42fd-8a28-95d3cf02f6d1	b6bcdf67-04a9-41f8-847f-43ad3d32b637
d5a56418-aa7f-42fd-8a28-95d3cf02f6d1	c3c1f8fe-40dc-4da6-b8e6-856ae9e7dda4
d5a56418-aa7f-42fd-8a28-95d3cf02f6d1	c7802fe1-b4e7-4e78-b7eb-9072436ddc4d
d5a56418-aa7f-42fd-8a28-95d3cf02f6d1	c7f23602-0d28-40e7-a503-fa868cd9ffb7
d5a56418-aa7f-42fd-8a28-95d3cf02f6d1	d1e971e5-8cda-458c-92d7-b579e883935a
d5a56418-aa7f-42fd-8a28-95d3cf02f6d1	d53e8f11-6eb9-4a6f-a0a7-79f84e0ba9c6
d5a56418-aa7f-42fd-8a28-95d3cf02f6d1	db6bdbae-4c13-4d86-964f-063142a7e7b0
da3b188b-826e-40f9-a110-4edf891af106	09ee1a7d-3729-4a93-80db-7beb1109e39e
da3b188b-826e-40f9-a110-4edf891af106	162b271b-3d85-400a-95f7-8ec7af3fd65c
da3b188b-826e-40f9-a110-4edf891af106	33df001c-5f0d-4a1b-9099-992f09ecb711
da3b188b-826e-40f9-a110-4edf891af106	3c2dd010-52bf-4f26-a70f-224a2439a41d
da3b188b-826e-40f9-a110-4edf891af106	47d79311-e7fb-4adb-bb27-0f6712c2e459
da3b188b-826e-40f9-a110-4edf891af106	4b04167b-3f3e-4b29-af93-88163347f01a
da3b188b-826e-40f9-a110-4edf891af106	56373e0d-1791-46aa-916d-17610c476005
da3b188b-826e-40f9-a110-4edf891af106	844e019a-3251-4eeb-80cb-dfb7723f9f75
da3b188b-826e-40f9-a110-4edf891af106	ef0468d9-e917-4029-92af-34fb11be2db8
e40ef21f-f873-4720-a10f-30aef6582ac0	4323917d-dfa1-40d5-83a4-ab713c763b4f
e40ef21f-f873-4720-a10f-30aef6582ac0	4876425c-16b8-4d9d-b3b6-fbcf1867e62e
f029cfa9-e2ab-4a48-86bc-b121dc7571b3	0187759e-ef64-4f35-89aa-ac415d213112
f029cfa9-e2ab-4a48-86bc-b121dc7571b3	09b35931-4f79-42f8-8a60-be81330a4a2f
f029cfa9-e2ab-4a48-86bc-b121dc7571b3	1500e68e-3860-4919-99be-aca9325ac53f
f029cfa9-e2ab-4a48-86bc-b121dc7571b3	2c9de2fd-95cb-49c6-a36e-e29d3185c22b
f029cfa9-e2ab-4a48-86bc-b121dc7571b3	422c82fb-1462-4d1d-9b55-700612c67a95
f029cfa9-e2ab-4a48-86bc-b121dc7571b3	4af1a3fc-e4f9-4087-ac8d-9c8cb13a77ff
f029cfa9-e2ab-4a48-86bc-b121dc7571b3	54a3e431-b234-4405-a74d-9a5df4feb633
f029cfa9-e2ab-4a48-86bc-b121dc7571b3	639eb8f6-67e7-4e82-bd05-cd38399a5898
f029cfa9-e2ab-4a48-86bc-b121dc7571b3	691975c9-9fe5-4cd6-a12c-a6be4f95ffdb
f029cfa9-e2ab-4a48-86bc-b121dc7571b3	7012cb72-c993-4a3c-be4f-f85fee02064d
f029cfa9-e2ab-4a48-86bc-b121dc7571b3	792c1041-7c15-44dd-adda-8b79c58afe5c
f029cfa9-e2ab-4a48-86bc-b121dc7571b3	95ab1fd5-532c-478c-b629-44c8857c0bc6
f029cfa9-e2ab-4a48-86bc-b121dc7571b3	ab696a40-0175-4cb1-91a3-b5a02c4cff2f
f029cfa9-e2ab-4a48-86bc-b121dc7571b3	ae316bf7-89f1-4313-9952-4b4b24e86800
f029cfa9-e2ab-4a48-86bc-b121dc7571b3	bc1e5fb3-bca5-4ccd-82a1-e2c1089c6ef6
f029cfa9-e2ab-4a48-86bc-b121dc7571b3	c5e612e7-4464-49ca-8003-0d7435b21f15
f029cfa9-e2ab-4a48-86bc-b121dc7571b3	c5f1dbe7-b16e-4e29-a32f-b9ff70813e7e
f029cfa9-e2ab-4a48-86bc-b121dc7571b3	e2a0a990-4685-46ad-9a78-4aa92e2f1010
f029cfa9-e2ab-4a48-86bc-b121dc7571b3	f826b162-1a20-4b3a-aeb4-0c11a70a325e
f4e6c7ea-efd0-4053-928d-e20d74ada489	575d40be-8438-4800-95cd-d79de6733c89
f4e6c7ea-efd0-4053-928d-e20d74ada489	ff5e827d-8995-451d-aa66-fb5cac7256c2
